thefields,units,standard_names,long_names,comments,types,heights,instruments,locations,methods
"lat","degree_north","latitude","latitude","","coordinate",,"Hemisphere GPS VS-1000 system. Hemisphere MDA30 and MDA10 antenna, SN# 0824-7443-0010, ","starboard forward O2 deck rail",""
"lon","degree_east","longitude","longitude","","coordinate",,"Hemisphere GPS VS-1000 system. Hemisphere MDA30 and MDA10 antenna, SN# 0824-7443-0010, ","starboard forward O2 deck rail",""
"cog","degree","platform_course","course-over-ground","","physicalMeasurement",,"Hemisphere GPS VS-1000 system. Hemisphere MDA30 and MDA10 antenna, SN# 0824-7443-0010, ","starboard forward O2 deck rail",""
"sog","m/s","platform_speed_wrt_ground","speed-over-ground","","physicalMeasurement",,"Hemisphere GPS VS-1000 system. Hemisphere MDA30 and MDA10 antenna, SN# 0824-7443-0010, ","starboard forward O2 deck rail",""
"heading","degree","platform_orientation","heading","","physicalMeasurement",,"Hemisphere GPS VS-1000 system. Hemisphere MDA30 and MDA10 antenna, SN# 0824-7443-0010, ","starboard forward O2 deck rail",""
"flag_bad_bulk","1","","flag 1 = wind from aft = questionable state variables and bulk fluxes","0 = good, 1 = use with caution. Use to exclude questionable state variables and bulk fluxes when wind came from aft: |rdir| > 140 deg. This could have impacted state variables and fluxes to some extent due to deck heating and flow distortion. The state variables and COARE bulk algorithm output is likely okay to use but cannot be guaranteed to have the highest quality. ","qualityInformation",,"Gill Instruments R3 3-axis sonic anemometer, SN# 111001","bow mast","past experience and examination of data suggest these flags are necessary for screening and excluding bad bulk flux and state variable data "
"year","year","","year","","coordinate",,"","",""
"month","month","","month","","coordinate",,"","",""
"day","day","","day","","coordinate",,"","",""
"hour","UTC","","hour","","coordinate",,"","",""
"minute","UTC","","minute","","coordinate",,"","",""
"tair","degree_Celsius","air_temperature","NOAA 15.20 m air temperature","","physicalMeasurement",15.2,"Vaisala-HMT337 tempearture humidity sensor, SN# E1350206","bow mast",""
"tair_2","degree_Celsius","air_temperature","NOAA 2 m air temperature","","modelResult",2,"Vaisala-HMT337 tempearture humidity sensor, SN# E1350206","bow mast","COARE 3.6, height adjusted"
"tair_10","degree_Celsius","air_temperature","NOAA 10 m air temperature","","modelResult",10,"Vaisala-HMT337 tempearture humidity sensor, SN# E1350206","bow mast","COARE 3.6, height adjusted"
"tair_10n","degree_Celsius","air_temperature","NOAA 10 m neutral air temperature","","modelResult",10,"Vaisala-HMT337 tempearture humidity sensor, SN# E1350206","bow mast","COARE 3.6, height adjusted, adusted for neutral stability"
"rhair","%","relative_humidity","NOAA 15.20 m relative humidity","","physicalMeasurement",15.2,"Vaisala-HMT337 tempearture humidity sensor, SN# E1350206","bow mast",""
"rhair_2","%","relative_humidity","NOAA 2 m relative humidity","","modelResult",2,"Vaisala-HMT337 tempearture humidity sensor, SN# E1350206","bow mast","COARE 3.6, height adjusted"
"rhair_10","%","relative_humidity","NOAA 10 m relative humidity","","modelResult",10,"Vaisala-HMT337 tempearture humidity sensor, SN# E1350206","bow mast","COARE 3.6, height adjusted"
"qair","g/kg","specific_humidity","NOAA 15.20 m air specific humidity","","physicalMeasurement",15.2,"Vaisala-HMT337 tempearture humidity sensor, SN# E1350206","bow mast",""
"qair_2","g/kg","specific_humidity","NOAA 2 m air specific humidity","","modelResult",2,"Vaisala-HMT337 tempearture humidity sensor, SN# E1350206","bow mast","COARE 3.6, height adjusted"
"qair_10","g/kg","specific_humidity","NOAA 10 m air specific humidity","","modelResult",10,"Vaisala-HMT337 tempearture humidity sensor, SN# E1350206","bow mast","COARE 3.6, height adjusted"
"qair_10n","g/kg","specific_humidity","NOAA 10 m neutral specific humidity","","modelResult",10,"Vaisala-HMT337 tempearture humidity sensor, SN# E1350206","bow mast","COARE 3.6, height adjusted, adjusted for neutral stability"
"rhoair","kg/m3","air_density","NOAA 15.20 m air density","","physicalMeasurement",15.2,"","","from T, q, p"
"rhoair_10","kg/m3","air_density","NOAA air density adjusted to 10 m height","","modelResult",10,"","","COARE 3.6, height adjusted"
"prate","mm/hr","rainfall_rate","rainfall rate from NOAA optical gauge","","physicalMeasurement",15.5,"Optical Scientific Inc Optical Rain Gauge ORG-815-DA, SN# 8060281","bow mast",""
"paccum","mm","thickness_of_rainfall_amount","rainfall accumulation from NOAA optical gauge","","physicalMeasurement",15.5,"Optical Scientific Inc Optical Rain Gauge ORG-815-DA, SN# 8060281","bow mast",""
"psealevel","mbar","air_pressure_at_mean_sea_level","NOAA sea level atmospheric pressure","to adjust heights: P_z=(psealevel - (0.125*z)","modelResult",0,"Vaisala-PTB220 shielded pressure sensor, SN# A2710002","starboard forward O2 deck rail","height adjustment, to change use P_z=(psealevel - (0.125*z)"
"pair_10","mbar","air_pressure","NOAA atmospheric pressure adjusted to 10 m height","to adjust heights: P_z=(psealevel - (0.125*z)","modelResult",0,"Vaisala-PTB220 shielded pressure sensor, SN# A2710002","starboard forward O2 deck rail","height adjustment, to change use P_z=(psealevel - (0.125*z)"
"rdir","degree","wind_to_direction","NOAA 16.50 m relative wind direction","0 means relative or apparent wind was incoming directly to bow of ship. To convert from +/- 180 to 0-360 positive-to-north earth coordinates: rdir2(rdir2<0)=rdir2(rdir2<0)+360;","physicalMeasurement",16.5,"Gill Instruments R3 3-axis sonic anemometer, SN# 111001","bow mast","does not account for current velocity"
"rspd","m/s","wind_speed","NOAA 16.50 m relative wind speed","","physicalMeasurement",16.5,"Gill Instruments R3 3-axis sonic anemometer, SN# 111001","bow mast","does not account for current velocity"
"wdir","degree","wind_from_direction","NOAA 16.50 m true wind direction","meteorological convention from","physicalMeasurement",16.5,"Gill Instruments R3 3-axis sonic anemometer, SN# 111001","bow mast","does not account for current velocity"
